category,response_norm
clothing,shirt
clothing,t-shirt
clothing,long sleeve shirt
clothing,long sleeve
clothing,pants
clothing,cargo pants
clothing,jean skirt
clothing,dress shirt
clothing,shorts
clothing,sweater
clothing,jeans
clothing,hat
clothing,sock
clothing,underwear
clothing,shoe
clothing,dress
clothing,vest
clothing,coat
clothing,tanktop
clothing,tubetop
clothing,socks
clothing,coats
clothing,jacket
clothing,sweatshirt
clothing,leggings
clothing,sweatpants
clothing,sweatshorts
clothing,pajamas
clothing,sweatpabnts
clothing,joggers
clothing,croptop
clothing,zipup
clothing,puffercoat
clothing,shoes
clothing,bra
clothing,blouse
clothing,tshirt
clothing,skirt
clothing,bathingsuit
clothing,raincoat
clothing,hoodie
clothing,longsleeveshirt
clothing,boots
clothing,cargopants
clothing,jeanskirt
clothing,dressshirt
clothing,glove
clothing,scarf
clothing,beanie
clothing,blazer
clothing,trouser
clothing,longsleeve
food,pizza
food,breakfast sandwhich
food,bon bon
food,baby back ribs
food,brussel sprout
food,baked good
food,ice cream
food,Mac and cheese
food,green beans
food,big mac
food,bean dip
food,bell pepper
food,brussels sprouts
food,steak
food,greenbeans
food,carrot
food,frenchfries
food,chicken
food,salmon
food,haddock
food,pie
food,cake
food,cookie
food,lemon
food,apple
food,orange
food,grape
food,fruit
food,pasta
food,spaghetti
food,ramen
food,icecream
food,noodles
food,friedrice
food,rice
food,poke
food,fish
food,hamburger
food,sandwhich
food,lettuce
food,corn
food,brocolli
food,strawberry
food,banana
food,kale
food,tomatoe
food,potato
food,espragus
food,bread
food,cauliflower
food,blueberry
food,banna
food,pinapple
food,beef
food,muffin
food,meatball
food,pork
food,chipoltle
food,vegtables
food,patatos
food,sauce
food,condiment
food,fries
food,burger
food,taco
food,bagel
food,donut
food,salad
food,pretzels
food,sushi
food,tacos
food,burritos
food,carrots
food,broccoli
food,sausage
food,turkey
food,potatos
food,sweetpotatos
food,gravy
food,peas
food,roll
food,brad
food,breadstick
food,cheese
food,chips
food,brownies
food,cookies
food,candy
food,meat
food,soup
food,macandcheese
food,seafood
food,crab
food,lobster
food,clams
food,oysters
food,ribs
food,chocolate
food,butterchicken
food,laulau
food,apples
food,pear
food,cod
food,potatoes
food,fry
food,carrott
furniture,chair
furniture,Kitchen island
furniture,Laundry machine
furniture,table
furniture,desk
furniture,cabinet
furniture,drawer
furniture,nightstand
furniture,coach
furniture,couch
furniture,lamp
furniture,loveseat
furniture,stand
furniture,shelf
furniture,mirror
furniture,massagechair
furniture,coaster
furniture,sofa
furniture,bed
furniture,bedframe
furniture,vanity
furniture,draw
furniture,dresser
furniture,closet
furniture,ottoman
furniture,stool
furniture,seat
furniture,fridge
furniture,counter
furniture,bed frame
furniture,coffeetable
furniture,bench
furniture,rug
furniture,tvstand
furniture,kitchenisland
furniture,stove
furniture,laundrymachine
furniture,oven
furniture,futon
furniture,lounge
furniture,windowpane
furniture,recliner
furniture,sink
furniture,beanbag
furniture,tv
furniture,bedsidetable
furniture,sectional
furniture,napkin holder
furniture,nook bench
furniture,nursing chair
bodyparts,nose
bodyparts,‘fingers
bodyparts,'fingers
bodyparts,auditory canal
bodyparts,eyes
bodyparts,hands
bodyparts,hand
bodyparts,leg
bodyparts,vagina
bodyparts,penis
bodyparts,fingers
bodyparts,finger
bodyparts,toe
bodyparts,toes
bodyparts,nail
bodyparts,nails
bodyparts,eyebrow
bodyparts,eyebrows
bodyparts,ear
bodyparts,ears
bodyparts,mouth
bodyparts,tougue
bodyparts,tongue
bodyparts,arm
bodyparts,feet
bodyparts,head
bodyparts,lips
bodyparts,teeth
bodyparts,hair
bodyparts,hips
bodyparts,butt
bodyparts,thigh
bodyparts,calf
bodyparts,ankle
bodyparts,wrist
bodyparts,foot
bodyparts,elbow
bodyparts,bicep
bodyparts,knee
bodyparts,chest
bodyparts,shoulders
bodyparts,neck
bodyparts,kidneys
bodyparts,stomach
bodyparts,eybrows
bodyparts,legs
bodyparts,breasts
bodyparts,elbows
bodyparts,wrists
bodyparts,shoulder
bodyparts,les
bodyparts,ankles
bodyparts,face
bodyparts,breast
bodyparts,torso
bodyparts,abdomin
bodyparts,buttock
bodyparts,pelvis
bodyparts,genitals
bodyparts,skull
bodyparts,eye
bodyparts,tendon
bodyparts,ligament
bodyparts,vein
