id,listtype,list,listnum,category,letter,itemnum,response,rt,semantic,phonological,overlap,hard_switch,soft_switch,any_switch,cue_combo,cue_valid,condition
R_114UrlF710l6g2I,semantic_3,semantic,3,furniture,,1,chair,5503,yes,no,no,no,no,no,semantic_only,yes,semantic
R_114UrlF710l6g2I,semantic_3,semantic,3,furniture,,2,table,3302,yes,no,no,no,no,no,semantic_only,yes,semantic
R_114UrlF710l6g2I,semantic_3,semantic,3,furniture,,3,desk,1503,yes,no,no,no,no,no,semantic_only,yes,semantic
R_114UrlF710l6g2I,semantic_3,semantic,3,furniture,,4,ottoman,3020,yes,no,no,no,no,no,semantic_only,yes,semantic
R_114UrlF710l6g2I,semantic_3,semantic,3,furniture,,5,cabinet,4572,yes,no,no,no,no,no,semantic_only,yes,semantic
R_114UrlF710l6g2I,semantic_3,semantic,3,furniture,,6,bench,1585,yes,no,no,no,no,no,semantic_only,yes,semantic
R_114UrlF710l6g2I,semantic_3,semantic,3,furniture,,7,counter,6974,yes,no,no,no,no,no,semantic_only,yes,semantic
R_114UrlF710l6g2I,semantic_3,semantic,3,furniture,,8,mirror,3317,yes,no,no,no,no,no,semantic_only,yes,semantic
R_114UrlF710l6g2I,semantic_3,semantic,3,furniture,,9,sofa,4024,yes,no,no,no,no,no,semantic_only,yes,semantic
R_114UrlF710l6g2I,semantic_3,semantic,3,furniture,,10,couch,1569,yes,no,no,no,no,no,semantic_only,yes,semantic
R_114UrlF710l6g2I,semantic_3,semantic,3,furniture,,11,chassis,8059,no,no,no,no,no,no,neither,no,semantic
R_114UrlF710l6g2I,semantic_4,semantic,4,bodyparts,,1,head,3805,yes,no,no,no,no,no,semantic_only,yes,semantic
R_114UrlF710l6g2I,semantic_4,semantic,4,bodyparts,,2,arm,1332,yes,no,no,no,no,no,semantic_only,yes,semantic
R_114UrlF710l6g2I,semantic_4,semantic,4,bodyparts,,3,finger,1302,yes,no,no,no,no,no,semantic_only,yes,semantic
R_114UrlF710l6g2I,semantic_4,semantic,4,bodyparts,,4,beck,1035,no,no,no,no,no,no,neither,no,semantic
R_114UrlF710l6g2I,semantic_4,semantic,4,bodyparts,,5,torso,3270,yes,no,no,no,no,no,semantic_only,yes,semantic
R_114UrlF710l6g2I,semantic_4,semantic,4,bodyparts,,6,legs,2667,yes,no,no,no,no,no,semantic_only,yes,semantic
R_114UrlF710l6g2I,semantic_4,semantic,4,bodyparts,,7,feet,3303,yes,no,no,no,no,no,semantic_only,yes,semantic
R_114UrlF710l6g2I,semantic_4,semantic,4,bodyparts,,8,toes,1351,yes,no,no,no,no,no,semantic_only,yes,semantic
R_114UrlF710l6g2I,semantic_4,semantic,4,bodyparts,,9,eyes,2470,yes,no,no,no,no,no,semantic_only,yes,semantic
R_114UrlF710l6g2I,semantic_4,semantic,4,bodyparts,,10,hair,1597,yes,no,no,no,no,no,semantic_only,yes,semantic
R_114UrlF710l6g2I,semantic_4,semantic,4,bodyparts,,11,nose,3085,yes,no,no,no,no,no,semantic_only,yes,semantic
R_114UrlF710l6g2I,semantic_4,semantic,4,bodyparts,,12,fingernails,4921,yes,no,no,no,no,no,semantic_only,yes,semantic
R_114UrlF710l6g2I,semantic_4,semantic,4,bodyparts,,13,heart,3637,yes,no,no,no,no,no,semantic_only,yes,semantic
R_114UrlF710l6g2I,semantic_4,semantic,4,bodyparts,,14,ears,2103,yes,no,no,no,no,no,semantic_only,yes,semantic
R_114UrlF710l6g2I,semantic_4,semantic,4,bodyparts,,15,lungs,3821,no,no,no,no,no,no,neither,no,semantic
R_114UrlF710l6g2I,semantic_4,semantic,4,bodyparts,,16,gallbladder,4086,no,no,no,no,no,no,neither,no,semantic
R_114UrlF710l6g2I,semantic_4,semantic,4,bodyparts,,17,pancreas,2040,no,no,no,no,no,no,neither,no,semantic
R_114UrlF710l6g2I,semantic_4,semantic,4,bodyparts,,18,liver,3721,no,no,no,no,no,no,neither,no,semantic
R_114UrlF710l6g2I,semantic_4,semantic,4,bodyparts,,19,abdomen,5123,yes,no,no,no,no,no,semantic_only,yes,semantic
R_114UrlF710l6g2I,semantic_4,semantic,4,bodyparts,,20,diaphragm,5122,no,no,no,no,no,no,neither,no,semantic
